Cien años de soledad, Gabriel García Márquez
El amor en los tiempos del cólera, Gabriel García Márquez
Crónica de una muerte anunciada, Gabriel García Márquez
Rayuela, Julio Cortázar
Ficciones, Jorge Luis Borges
El Aleph, Jorge Luis Borges
El túnel, Ernesto Sabato
Sobre héroes y tumbas, Ernesto Sabato
La ciudad y los perros, Mario Vargas Llosa
La casa de los espíritus, Isabel Allende
Paula, Isabel Allende
Los detectives salvajes, Roberto Bolaño
2666, Roberto Bolaño
El laberinto de los espíritus, Carlos Ruiz Zafón
La sombra del viento, Carlos Ruiz Zafón
El nombre del viento, Patrick Rothfuss
El temor de un hombre sabio, Patrick Rothfuss
La ladrona de libros, Markus Zusak
El libro de la selva, Rudyard Kipling
El retrato de Dorian Gray, Oscar Wilde
1984, George Orwell
Rebelión en la granja, George Orwell
Matar a un ruiseñor, Harper Lee
El gran Gatsby, F. Scott Fitzgerald
Orgullo y prejuicio, Jane Austen
Emma, Jane Austen
La insoportable levedad del ser, Milan Kundera
La vida está en otra parte, Milan Kundera
La inmortalidad, Milan Kundera
El principito, Antoine de Saint-Exupéry
El extranjero, Albert Camus
La peste, Albert Camus
Crimen y castigo, Fyodor Dostoevsky
El jugador, Fyodor Dostoevsky
Guerra y paz, Leo Tolstoy
Anna Karenina, Leo Tolstoy
Los hermanos Karamazov, Fyodor Dostoevsky
El idiota, Fyodor Dostoevsky
La metamorfosis, Franz Kafka
El proceso, Franz Kafka
La montaña mágica, Thomas Mann
Muerte en Venecia, Thomas Mann
El guardián entre el centeno, J.D. Salinger
Nueve cuentos, J.D. Salinger
Moby Dick, Herman Melville
Bartleby, el escribiente, Herman Melville
El señor de los anillos: La comunidad del anillo, J.R.R. Tolkien
El señor de los anillos: Las dos torres, J.R.R. Tolkien
El señor de los anillos: El retorno del rey, J.R.R. Tolkien
La historia interminable, Michael Ende
El perfume, Patrick Süskind
Crónicas marcianas, Ray Bradbury
Fahrenheit 451, Ray Bradbury
Las venas abiertas de América Latina, Eduardo Galeano
El alquimista, Paulo Coelho
Bajo la misma estrella, John Green
Ciudades de papel, John Green
El niño con el pijama de rayas, John Boyne
El código Da Vinci, Dan Brown
Ángeles y demonios, Dan Brown
El símbolo perdido, Dan Brown
Los pilares de la Tierra, Ken Follett
Un mundo sin fin, Ken Follett
Los hombres que no amaban a las mujeres, Stieg Larsson
La chica que soñaba con una cerilla y un bidón de gasolina, Stieg Larsson
La reina en el palacio de las corrientes de aire, Stieg Larsson
La casa de los espíritus, Isabel Allende
El amante japonés, Isabel Allende
El cazador de historias, Eduardo Galeano
Memorias del subdesarrollo, Edmundo Desnoes
El libro de los abrazos, Eduardo Galeano
El beso de la mujer araña, Manuel Puig
Boquitas pintadas, Manuel Puig
La ciudad y los perros, Mario Vargas Llosa
Conversación en La Catedral, Mario Vargas Llosa
El perfume, Patrick Süskind
La carta esférica, Arturo Pérez-Reverte
La sombra del viento, Carlos Ruiz Zafón
El juego del ángel, Carlos Ruiz Zafón
El alquimista, Paulo Coelho
Brida, Paulo Coelho
Verónika decide morir, Paulo Coelho
El amor en los tiempos del cólera, Gabriel García Márquez
El general en su laberinto, Gabriel García Márquez
Noticia de un secuestro, Gabriel García Márquez
Rayuela, Julio Cortázar
Final del juego, Julio Cortázar
Bestiario, Julio Cortázar
Ficciones, Jorge Luis Borges
El libro de arena, Jorge Luis Borges
Historia universal de la infamia, Jorge Luis Borges
Sobre héroes y tumbas, Ernesto Sabato
Abaddón el exterminador, Ernesto Sabato
La resistencia, Ernesto Sabato
La casa de los espíritus, Isabel Allende
Eva Luna, Isabel Allende
De amor y de sombra, Isabel Allende
Los detectives salvajes, Roberto Bolaño
Estrella distante, Roberto Bolaño
Los detectives salvajes, Roberto Bolaño
